	Area	Area_AG	Area_SH	Area_QF	Spcs_Tt	Spcs_AG	Spcs_SH	Spcs_QF	Spcs_UB	Hbt
A0	262144	86508	86508	86508	90	46	24	15	5	na
A1	4096	0	4096	0	14	9	5	0	0	M
A11	64	0	64	0	5	4	1	0	0	M
A111	1	0	1	0	4	3	1	0	0	M
A112	1	0	1	0	2	1	1	0	0	M
A113	1	0	1	0	5	4	1	0	0	M
A114	1	0	1	0	3	2	1	0	0	M
A12	64	0	64	0	8	6	2	0	0	M
A121	1	0	1	0	4	2	2	0	0	M
A122	1	0	1	0	5	3	2	0	0	M
A123	1	0	1	0	2	1	1	0	0	M
A124	1	0	1	0	4	4	0	0	0	M
A13	64	0	64	0	5	3	2	0	0	M
A131	1	0	1	0	4	3	1	0	0	M
A132	1	0	1	0	5	3	2	0	0	M
A133	1	0	1	0	4	3	1	0	0	M
A134	1	0	1	0	4	2	2	0	0	M
A14	64	0	64	0	10	6	4	0	0	M
A141	1	0	1	0	5	4	1	0	0	M
A142	1	0	1	0	2	1	1	0	0	M
A143	1	0	1	0	5	3	2	0	0	M
A144	1	0	1	0	5	3	2	0	0	M
A2	4096	0	0	4096	33	19	6	4	4	Q
A21	64	0	0	64	12	6	1	3	2	Q
A211	1	0	0	1	3	1	1	1	0	Q
A212	1	0	0	1	7	4	1	2	0	Q
A213	1	0	0	1	8	3	0	3	2	Q
A214	1	0	0	1	6	2	1	2	1	Q
A22	64	0	0	64	18	8	4	3	3	Q
A221	1	0	0	1	5	2	1	1	1	Q
A222	1	0	0	1	8	2	2	2	2	Q
A223	1	0	0	1	9	5	2	1	1	Q
A224	1	0	0	1	6	2	1	2	1	Q
A23	64	0	0	64	16	10	3	2	1	Q
A231	1	0	0	1	6	1	3	1	1	Q
A232	1	0	0	1	9	5	2	1	1	Q
A233	1	0	0	1	5	2	2	1	0	Q
A234	1	0	0	1	8	6	2	0	0	Q
A24	64	0	0	64	17	11	3	2	1	Q
A241	1	0	0	1	5	3	2	0	0	Q
A242	1	0	0	1	5	3	2	0	0	Q
A243	1	0	0	1	8	5	1	1	1	Q
A244	1	0	0	1	8	5	1	2	0	Q
A3	4096	4096	0	0	49	27	13	8	1	A
A31	64	64	0	0	21	13	4	4	0	A
A311	1	1	0	0	15	10	3	2	0	A
A312	1	1	0	0	13	7	3	3	0	A
A313	1	1	0	0	9	6	2	1	0	A
A314	1	1	0	0	13	9	1	3	0	A
A32	64	64	0	0	13	11	1	1	0	A
A321	1	1	0	0	6	5	0	1	0	A
A322	1	1	0	0	8	7	0	1	0	A
A323	1	1	0	0	6	5	0	1	0	A
A324	1	1	0	0	6	4	1	1	0	A
A33	64	64	0	0	22	16	4	2	0	A
A331	1	1	0	0	13	10	3	0	0	A
A332	1	1	0	0	12	8	2	2	0	A
A333	1	1	0	0	11	8	2	1	0	A
A334	1	1	0	0	9	7	1	1	0	A
A34	64	64	0	0	31	14	9	7	1	A
A341	1	1	0	0	15	7	4	4	0	A
A342	1	1	0	0	12	5	5	2	0	A
A343	1	1	0	0	11	4	2	4	1	A
A344	1	1	0	0	12	7	4	1	0	A
A4	4096	2048	0	2048	56	26	14	13	3	QA
A41	64	64	0	0	22	12	5	5	0	A
A411	1	1	0	0	17	10	4	3	0	A
A412	1	1	0	0	12	7	3	2	0	A
A413	1	1	0	0	10	6	1	3	0	A
A414	1	1	0	0	12	8	1	3	0	A
A42	64	0	0	64	22	10	5	5	2	Q
A421	1	0	0	1	10	5	1	3	1	Q
A422	1	0	0	1	10	6	1	3	0	Q
A423	1	0	0	1	11	4	1	4	2	Q
A424	1	0	0	1	8	3	3	2	0	Q
A43	64	64	0	0	29	14	7	6	2	A
A431	1	1	0	0	14	7	3	2	2	A
A432	1	1	0	0	12	6	4	2	0	A
A433	1	1	0	0	15	8	4	3	0	A
A434	1	1	0	0	14	7	4	3	0	A
A44	64	0	0	64	14	5	4	4	1	Q
A441	1	0	0	1	7	2	2	2	1	Q
A442	1	0	0	1	6	4	0	1	1	Q
A443	1	0	0	1	4	1	2	1	0	Q
A444	1	0	0	1	11	4	3	3	1	Q
B0	262144	131072	0	131072	77	39	19	14	5	na
B1	4096	0	0	4096	29	11	8	5	5	Q
B11	64	0	0	64	16	6	6	3	1	Q
B111	1	0	0	1	10	4	3	2	1	Q
B112	1	0	0	1	7	3	2	2	0	Q
B113	1	0	0	1	9	3	4	1	1	Q
B114	1	0	0	1	9	3	3	2	1	Q
B12	64	0	0	64	15	6	4	2	3	Q
B121	1	0	0	1	7	4	2	0	1	Q
B122	1	0	0	1	8	2	3	1	2	Q
B123	1	0	0	1	9	3	3	2	1	Q
B124	1	0	0	1	11	5	3	2	1	Q
B13	64	0	0	64	18	7	4	4	3	Q
B131	1	0	0	1	12	4	4	2	2	Q
B132	1	0	0	1	8	3	4	0	1	Q
B133	1	0	0	1	8	4	2	1	1	Q
B134	1	0	0	1	10	4	2	3	1	Q
B14	64	0	0	64	17	6	4	4	3	Q
B141	1	0	0	1	8	5	3	0	0	Q
B142	1	0	0	1	8	3	2	2	1	Q
B143	1	0	0	1	11	2	4	3	2	Q
B144	1	0	0	1	7	3	3	1	0	Q
B2	4096	4096	0	0	43	23	13	6	1	A
B21	64	64	0	0	24	16	4	4	0	A
B211	1	1	0	0	13	8	2	3	0	A
B212	1	1	0	0	11	7	1	3	0	A
B213	1	1	0	0	17	11	3	3	0	A
B214	1	1	0	0	11	8	1	2	0	A
B22	64	64	0	0	11	8	1	2	0	A
B221	1	1	0	0	9	7	1	1	0	A
B222	1	1	0	0	7	5	0	2	0	A
B223	1	1	0	0	6	4	1	1	0	A
B224	1	1	0	0	6	5	0	1	0	A
B23	64	64	0	0	25	12	8	5	0	A
B231	1	1	0	0	14	6	5	3	0	A
B232	1	1	0	0	13	7	4	2	0	A
B233	1	1	0	0	14	7	4	3	0	A
B234	1	1	0	0	18	9	5	4	0	A
B24	64	64	0	0	21	12	5	3	1	A
B241	1	1	0	0	8	6	0	2	0	A
B242	1	1	0	0	9	4	4	1	0	A
B243	1	1	0	0	11	7	3	1	0	A
B244	1	1	0	0	13	7	2	3	1	A
B3	4096	4096	0	0	40	23	11	4	2	A
B31	64	64	0	0	25	16	5	4	0	A
B311	1	1	0	0	14	9	4	1	0	A
B312	1	1	0	0	11	8	0	3	0	A
B313	1	1	0	0	13	9	2	2	0	A
B314	1	1	0	0	11	7	1	3	0	A
B32	64	64	0	0	27	16	7	3	1	A
B321	1	1	0	0	18	12	4	1	1	A
B322	1	1	0	0	13	9	2	2	0	A
B323	1	1	0	0	11	7	3	1	0	A
B324	1	1	0	0	13	8	2	3	0	A
B33	64	64	0	0	20	12	5	3	0	A
B331	1	1	0	0	13	8	3	2	0	A
B332	1	1	0	0	10	4	4	2	0	A
B333	1	1	0	0	10	6	1	3	0	A
B334	1	1	0	0	10	4	4	2	0	A
B34	64	64	0	0	22	13	5	2	2	A
B341	1	1	0	0	12	7	2	2	1	A
B342	1	1	0	0	12	7	3	2	0	A
B343	1	1	0	0	11	7	2	2	0	A
B344	1	1	0	0	15	8	4	2	1	A
B4	4096	0	0	4096	31	14	6	9	2	Q
B41	64	0	0	64	12	5	2	4	1	Q
B411	1	0	0	1	5	2	1	2	0	Q
B412	1	0	0	1	5	3	0	2	0	Q
B413	1	0	0	1	7	4	1	1	1	Q
B414	1	0	0	1	7	3	0	4	0	Q
B42	64	0	0	64	20	10	4	5	1	Q
B421	1	0	0	1	9	4	2	2	1	Q
B422	1	0	0	1	9	4	2	3	0	Q
B423	1	0	0	1	6	5	1	0	0	Q
B424	1	0	0	1	5	4	0	1	0	Q
B43	64	0	0	64	12	5	3	4	0	Q
B431	1	0	0	1	7	3	2	2	0	Q
B432	1	0	0	1	4	2	1	1	0	Q
B433	1	0	0	1	7	4	0	3	0	Q
B434	1	0	0	1	6	3	1	2	0	Q
B44	64	0	0	64	17	8	2	6	1	Q
B441	1	0	0	1	9	3	1	4	1	Q
B442	1	0	0	1	7	4	0	2	1	Q
B443	1	0	0	1	10	5	0	4	1	Q
B444	1	0	0	1	9	5	1	2	1	Q
C0	262144	86508	86508	86508	86	43	22	15	6	na
C1	4096	0	0	4096	38	17	9	9	3	Q
C11	64	0	0	64	17	6	4	5	2	Q
C111	1	0	0	1	9	5	2	0	2	Q
C112	1	0	0	1	4	0	1	2	1	Q
C113	1	0	0	1	8	1	3	3	1	Q
C114	1	0	0	1	8	1	3	2	2	Q
C12	64	0	0	64	26	13	7	4	2	Q
C121	1	0	0	1	15	7	5	1	2	Q
C122	1	0	0	1	11	5	2	3	1	Q
C123	1	0	0	1	10	5	5	0	0	Q
C124	1	0	0	1	11	5	4	1	1	Q
C13	64	0	0	64	16	4	4	5	3	Q
C131	1	0	0	1	7	2	2	2	1	Q
C132	1	0	0	1	4	1	1	1	1	Q
C133	1	0	0	1	10	2	3	3	2	Q
C134	1	0	0	1	10	3	2	2	3	Q
C14	64	0	0	64	17	6	6	3	2	Q
C141	1	0	0	1	10	3	4	2	1	Q
C142	1	0	0	1	11	4	4	1	2	Q
C143	1	0	0	1	4	1	2	0	1	Q
C144	1	0	0	1	6	3	3	0	0	Q
C2	4096	4096	0	0	45	23	13	6	3	A
C21	64	64	0	0	28	14	9	3	2	A
C211	1	1	0	0	13	8	3	2	0	A
C212	1	1	0	0	15	7	5	3	0	A
C213	1	1	0	0	17	9	4	2	2	A
C214	1	1	0	0	20	10	6	3	1	A
C22	64	64	0	0	23	15	5	3	0	A
C221	1	1	0	0	16	10	4	2	0	A
C222	1	1	0	0	17	10	4	3	0	A
C223	1	1	0	0	15	9	4	2	0	A
C224	1	1	0	0	13	7	4	2	0	A
C23	64	64	0	0	28	15	8	4	1	A
C231	1	1	0	0	17	9	5	2	1	A
C232	1	1	0	0	18	10	3	4	1	A
C233	1	1	0	0	15	8	4	3	0	A
C234	1	1	0	0	14	6	6	2	0	A
C24	64	64	0	0	28	16	7	4	1	A
C241	1	1	0	0	14	8	3	3	0	A
C242	1	1	0	0	16	9	4	3	0	A
C243	1	1	0	0	17	9	5	2	1	A
C244	1	1	0	0	15	11	2	2	0	A
C3	4096	0	4096	0	24	16	6	0	2	M
C31	64	0	64	0	12	9	3	0	0	M
C311	1	0	1	0	7	5	2	0	0	M
C312	1	0	1	0	9	7	2	0	0	M
C313	1	0	1	0	3	2	1	0	0	M
C314	1	0	1	0	6	3	3	0	0	M
C32	64	0	64	0	12	9	3	0	0	M
C321	1	0	1	0	6	5	1	0	0	M
C322	1	0	1	0	7	6	1	0	0	M
C323	1	0	1	0	4	2	2	0	0	M
C324	1	0	1	0	4	2	2	0	0	M
C33	64	0	64	0	17	10	5	0	2	M
C331	1	0	1	0	11	5	4	0	2	M
C332	1	0	1	0	7	4	3	0	0	M
C333	1	0	1	0	4	3	1	0	0	M
C334	1	0	1	0	6	5	1	0	0	M
C34	64	0	64	0	7	6	1	0	0	M
C341	1	0	1	0	2	2	0	0	0	M
C342	1	0	1	0	2	1	1	0	0	M
C343	1	0	1	0	7	6	1	0	0	M
C344	1	0	1	0	3	2	1	0	0	M
C4	4096	2048	0	2048	44	23	8	11	2	QA
C41	64	64	0	0	16	10	1	5	0	A
C411	1	1	0	0	13	8	1	4	0	A
C412	1	1	0	0	5	4	0	1	0	A
C413	1	1	0	0	5	4	0	1	0	A
C414	1	1	0	0	3	2	0	1	0	A
C42	64	64	0	0	16	9	2	5	0	A
C421	1	1	0	0	9	5	0	4	0	A
C422	1	1	0	0	8	6	1	1	0	A
C423	1	1	0	0	5	3	1	1	0	A
C424	1	1	0	0	9	6	0	3	0	A
C43	64	0	0	64	18	6	6	5	1	Q
C431	1	0	0	1	10	4	2	3	1	Q
C432	1	0	0	1	9	2	4	2	1	Q
C433	1	0	0	1	7	2	2	2	1	Q
C434	1	0	0	1	8	1	2	4	1	Q
C44	64	0	0	64	22	9	6	5	2	Q
C441	1	0	0	1	10	4	4	1	1	Q
C442	1	0	0	1	11	4	3	3	1	Q
C443	1	0	0	1	11	4	2	3	2	Q
C444	1	0	0	1	8	2	5	1	0	Q
M0	262144	0	131072	131072	55	31	10	9	5	na
M1	4096	0	0	4096	43	23	8	8	4	Q
M11	64	0	0	64	25	15	6	2	2	Q
M111	1	0	0	1	10	6	3	0	1	Q
M112	1	0	0	1	10	4	4	1	1	Q
M113	1	0	0	1	12	8	3	0	1	Q
M114	1	0	0	1	10	4	3	2	1	Q
M12	64	0	0	64	24	11	5	6	2	Q
M121	1	0	0	1	9	4	2	3	0	Q
M122	1	0	0	1	11	5	2	3	1	Q
M123	1	0	0	1	13	8	1	3	1	Q
M124	1	0	0	1	10	3	3	3	1	Q
M13	64	0	0	64	19	10	3	2	4	Q
M131	1	0	0	1	13	6	3	1	3	Q
M132	1	0	0	1	10	6	2	1	1	Q
M133	1	0	0	1	11	5	2	2	2	Q
M134	1	0	0	1	4	1	2	1	0	Q
M14	64	0	0	64	17	6	4	4	3	Q
M141	1	0	0	1	7	3	2	2	0	Q
M142	1	0	0	1	10	4	2	2	2	Q
M143	1	0	0	1	9	2	1	4	2	Q
M144	1	0	0	1	5	1	0	3	1	Q
M2	4096	0	4096	0	24	15	6	1	2	M
M21	64	0	64	0	16	9	5	0	2	M
M211	1	0	1	0	4	3	1	0	0	M
M212	1	0	1	0	5	3	2	0	0	M
M213	1	0	1	0	12	5	5	0	2	M
M214	1	0	1	0	10	6	4	0	0	M
M22	64	0	64	0	14	8	4	0	2	M
M221	1	0	1	0	10	5	3	0	2	M
M222	1	0	1	0	8	3	4	0	1	M
M223	1	0	1	0	7	5	2	0	0	M
M224	1	0	1	0	3	2	1	0	0	M
M23	64	0	64	0	9	6	3	0	0	M
M231	1	0	1	0	5	3	2	0	0	M
M232	1	0	1	0	7	5	2	0	0	M
M233	1	0	1	0	5	3	2	0	0	M
M234	1	0	1	0	5	3	2	0	0	M
M24	64	0	64	0	16	9	6	1	0	M
M241	1	0	1	0	11	5	5	1	0	M
M242	1	0	1	0	8	5	3	0	0	M
M243	1	0	1	0	8	4	4	0	0	M
M244	1	0	1	0	10	5	4	1	0	M
M3	4096	0	0	4096	34	17	8	6	3	Q
M31	64	0	0	64	17	8	5	2	2	Q
M311	1	0	0	1	7	2	5	0	0	Q
M312	1	0	0	1	7	2	2	2	1	Q
M313	1	0	0	1	9	4	3	1	1	Q
M314	1	0	0	1	9	3	4	0	2	Q
M32	64	0	0	64	20	10	5	4	1	Q
M321	1	0	0	1	8	3	2	3	0	Q
M322	1	0	0	1	5	1	4	0	0	Q
M323	1	0	0	1	8	5	1	2	0	Q
M324	1	0	0	1	8	4	2	1	1	Q
M33	64	0	0	64	15	5	5	2	3	Q
M331	1	0	0	1	5	2	2	0	1	Q
M332	1	0	0	1	7	2	4	0	1	Q
M333	1	0	0	1	7	2	3	2	0	Q
M334	1	0	0	1	11	4	4	1	2	Q
M34	64	0	0	64	21	11	4	5	1	Q
M341	1	0	0	1	8	4	1	3	0	Q
M342	1	0	0	1	10	5	1	3	1	Q
M343	1	0	0	1	7	3	3	1	0	Q
M344	1	0	0	1	9	5	2	2	0	Q
M4	4096	0	4096	0	19	12	6	0	1	M
M41	64	0	64	0	12	7	4	0	1	M
M411	1	0	1	0	5	4	1	0	0	M
M412	1	0	1	0	7	5	2	0	0	M
M413	1	0	1	0	5	2	2	0	1	M
M414	1	0	1	0	7	5	2	0	0	M
M42	64	0	64	0	9	5	3	0	1	M
M421	1	0	1	0	6	3	2	0	1	M
M422	1	0	1	0	7	4	2	0	1	M
M423	1	0	1	0	5	3	2	0	0	M
M424	1	0	1	0	6	4	2	0	0	M
M43	64	0	64	0	15	9	6	0	0	M
M431	1	0	1	0	6	4	2	0	0	M
M432	1	0	1	0	7	4	3	0	0	M
M433	1	0	1	0	7	4	3	0	0	M
M434	1	0	1	0	9	6	3	0	0	M
M44	64	0	64	0	8	5	3	0	0	M
M441	1	0	1	0	3	1	2	0	0	M
M442	1	0	1	0	3	1	2	0	0	M
M443	1	0	1	0	7	5	2	0	0	M
M444	1	0	1	0	5	3	2	0	0	M
R0	262144	131072	131072	0	75	37	24	11	3	na
R1	4096	0	4096	0	22	12	7	2	1	M
R11	64	0	64	0	10	5	5	0	0	M
R111	1	0	1	0	7	3	4	0	0	M
R112	1	0	1	0	6	3	3	0	0	M
R113	1	0	1	0	6	4	2	0	0	M
R114	1	0	1	0	7	4	3	0	0	M
R12	64	0	64	0	14	9	4	1	0	M
R121	1	0	1	0	4	2	2	0	0	M
R122	1	0	1	0	7	4	2	1	0	M
R123	1	0	1	0	5	3	2	0	0	M
R124	1	0	1	0	7	4	3	0	0	M
R13	64	0	64	0	13	9	3	1	0	M
R131	1	0	1	0	3	0	3	0	0	M
R132	1	0	1	0	8	7	1	0	0	M
R133	1	0	1	0	3	1	2	0	0	M
R134	1	0	1	0	8	5	2	1	0	M
R14	64	0	64	0	13	6	5	1	1	M
R141	1	0	1	0	6	2	3	1	0	M
