Qudrat	HABITAT	Area	Ar_AG	Ar_SH	Ar_QF	Sp_T	Sp_Ub	Sp_AG	Sp_SH	Sp_QF
L	na	47243350	5713632	34507744	7021974	41	12	9	7	13
A0	na	1890625	695220	1016381	179024	30	10	7	5	8
A1	na	75625	65766	9859	0	16	5	6	4	1
A11	AG	3025	3025	0	0	8	4	2	1	1
A12	AG	3025	3025	0	0	4	1	2	1	0
A13	AG	3025	3025	0	0	3	1	2	0	0
A14	AG	3025	3025	0	0	4	2	1	1	0
A15	AG	3025	3025	0	0	4	1	0	3	0
A2	na	75625	16354	57734	1536	9	7	0	1	1
A21	AG	3025	3025	0	0	8	6	0	1	1
A22	SH	3025	0	3025	0	0	0	0	0	0
A23	SH	3025	0	3025	0	5	5	0	0	0
A24	AG	3025	3025	0	0	5	4	0	1	0
A25	SH	3025	0	3025	0	3	3	0	0	0
A3	na	75625	0	75625	0	8	4	0	4	0
A31	SH	3025	0	3025	0	5	4	0	1	0
A32	SH	3025	0	3025	0	3	2	0	1	0
A33	SH	3025	0	3025	0	1	0	0	1	0
A34	SH	3025	0	3025	0	2	1	0	1	0
A35	SH	3025	0	3025	0	3	1	0	2	0
A4	na	75625	17076	22965	35585	18	8	1	1	8
A41	QF	3025	0	0	3025	2	2	0	0	0
A42	QF	3025	0	0	3025	8	3	0	0	5
A43	SH	3025	0	3025	0	8	5	0	0	3
A44	SH	3025	0	3025	0	6	3	1	1	1
A45	QF	3025	0	0	3025	9	4	1	0	4
A5	na	75625	32729	42072	824	14	6	4	4	0
A51	AG	3025	3025	0	0	6	2	3	1	0
A52	SH	3025	0	3025	0	4	2	0	2	0
A53	SH	3025	0	3025	0	4	3	0	1	0
A54	AG	3025	3025	0	0	5	1	2	2	0
A55	AG	3025	3025	0	0	8	3	2	3	0
B0	na	1890625	956080	544083	390462	30	11	6	6	7
B1	na	75625	13630	46827	15168	11	6	1	4	0
B11	AG	3025	3025	0	0	7	5	0	2	0
B12	SH	3025	0	3025	0	8	4	1	3	0
B13	SH	3025	0	3025	0	5	5	0	0	0
B14	SH	3025	0	3025	0	3	0	0	3	0
B15	SH	3025	0	3025	0	2	2	0	0	0
B2	na	75625	60515	0	15110	13	5	4	2	2
B21	AG	3025	3025	0	0	5	2	1	1	1
B22	SH	3025	0	3025	0	5	3	0	1	1
B23	AG	3025	3025	0	0	3	3	0	0	0
B24	AG	3025	3025	0	0	6	2	3	1	0
B25	AG	3025	3025	0	0	6	2	3	1	0
B3	na	75625	43604	4450	27571	15	7	1	1	6
B31	AG	3025	3025	0	0	4	3	0	1	0
B32	QF	3025	0	0	3025	7	3	0	1	3
B33	QF	3025	0	0	3025	8	3	0	0	5
B34	AG	3025	3025	0	0	7	3	1	1	2
B35	QF	3025	0	0	3025	6	2	0	0	4
B4	na	75625	34341	33792	7492	11	3	4	3	1
B41	AG	3025	3025	0	0	5	0	4	1	0
B42	AG	3025	3025	0	0	4	1	2	1	0
B43	SH	3025	0	3025	0	4	1	1	2	0
B44	AG	3025	3025	0	0	4	2	0	1	1
B45	SH	3025	0	3025	0	4	1	1	1	1
B5	na	75625	405	37522	37697	18	7	1	5	5
B51	QF	3025	0	0	3025	8	6	0	0	2
B52	SH	3025	0	3025	0	4	1	0	3	0
B53	SH	3025	0	3025	0	5	1	1	2	1
B54	AG	3025	3025	0	0	2	0	0	0	2
B55	SH	3025	0	3025	0	8	5	0	1	2
C0	na	1890625	289989	898709	701927	26	10	2	3	11
C1	na	75625	0	59986	15639	9	5	0	2	2
C11	SH	3025	0	3025	0	2	0	0	2	0
C12	QF	3025	0	0	3025	6	4	0	1	1
C13	SH	3025	0	3025	0	2	1	0	1	0
C14	SH	3025	0	3025	0	3	2	0	1	0
C15	SH	3025	0	3025	0	4	2	0	0	2
C2	na	75625	0	71112	4513	7	2	1	3	1
C21	SH	3025	0	3025	0	2	0	0	1	1
C22	QF	3025	0	0	3025	1	0	0	1	0
C23	SH	3025	0	3025	0	3	2	0	1	0
C24	SH	3025	0	3025	0	3	0	0	3	0
C25	SH	3025	0	3025	0	3	0	1	2	0
C3	na	75625	0	0	75625	19	7	2	1	9
C31	QF	3025	0	0	3025	8	2	1	0	5
C32	QF	3025	0	0	3025	11	3	1	0	7
C33	QF	3025	0	0	3025	7	3	0	1	3
C34	QF	3025	0	0	3025	5	3	0	0	2
C35	QF	3025	0	0	3025	7	2	0	0	5
C4	na	75625	1176	14958	59492	16	6	0	1	9
C41	QF	3025	0	0	3025	9	4	0	0	5
C42	QF	3025	0	0	3025	9	5	0	0	4
C43	QF	3025	0	0	3025	10	5	0	0	5
C44	SH	3025	0	3025	0	4	2	0	1	1
C45	QF	3025	0	0	3025	6	3	0	0	3
C5	na	75625	30015	1683	43927	15	6	1	0	8
C51	AG	3025	3025	0	0	9	3	0	0	6
C52	QF	3025	0	0	3025	9	4	0	0	5
C53	AG	3025	3025	0	0	4	2	0	0	2
C54	QF	3025	0	0	3025	9	4	1	0	4
C55	AG	3025	3025	0	0	7	4	0	0	3
D0	na	1890625	11419	1268510	610696	21	7	0	5	9
D1	na	75625	0	0	75625	14	3	0	4	7
D11	QF	3025	0	0	3025	6	3	0	0	3
D12	QF	3025	0	0	3025	5	1	0	4	0
D13	QF	3025	0	0	3025	3	2	0	0	1
D14	QF	3025	0	0	3025	3	2	0	0	1
D15	QF	3025	0	0	3025	6	2	0	0	4
D2	na	75625	0	1781	73844	11	4	0	3	4
D21	QF	3025	0	0	3025	6	4	0	0	2
D22	SH	3025	0	3025	0	5	2	0	3	0
D23	QF	3025	0	0	3025	2	1	0	0	1
D24	SH	3025	0	3025	0	5	2	0	3	0
D25	QF	3025	0	0	3025	6	2	0	1	3
D3	na	75625	0	75625	0	7	2	0	5	0
D31	SH	3025	0	3025	0	1	0	0	1	0
D32	SH	3025	0	3025	0	5	1	0	4	0
D33	SH	3025	0	3025	0	3	1	0	2	0
D34	SH	3025	0	3025	0	2	1	0	1	0
D35	SH	3025	0	3025	0	4	1	0	3	0
D4	na	75625	11412	5931	58282	12	6	0	2	4
D41	AG	3025	3025	0	0	3	2	0	1	0
D42	QF	3025	0	0	3025	5	2	0	1	2
D43	QF	3025	0	0	3025	4	2	0	0	2
D44	QF	3025	0	0	3025	3	2	0	0	1
D45	AG	3025	3025	0	0	7	5	0	0	2
D5	na	75625	0	75450	175	3	2	0	1	0
D51	SH	3025	0	3025	0	0	0	0	0	0
D52	SH	3025	0	3025	0	0	0	0	0	0
D53	SH	3025	0	3025	0	2	1	0	1	0
D54	SH	3025	0	3025	0	0	0	0	0	0
